INDEX,1,2,3,4,5,6,7,8,9,10,11,12
12,Unit 13 Are you going to+V,Unit 13 Review,"Unit 13 S+can, can't+V",Unit 13 Review+To 부정사 부사적 용법,Unit 13 Review,Unit 13 5W1H+의문문,Unit 13 Review,Unit 13 Does he have to+V?,"Unit 13 관계부사 the place where, the reason why","Unit 13 지각동사 see, saw, hear, heard",Unit 13 관계대명사,Unit 13 Total review
13,Unit 14 I’m gong to +V,Unit 14 Would you like to+V,Unit 14 Did+S+V,Unit 14 Review+To 부정사 부사적 용법,Unit 14 유도 부사+to 부정사 형용사적 용법,Unit 14 3인칭 단수 현재 변화,Unit 14 Review,Unit 14 She has to+V.,"Unit 14 관계부사 the time when, (the way)how","Unit 14 형용사구, 전치사",Unit 14 관계대명사,Unit 14 Total review
14,Unit 15 Aren’t you going to+V,Unit 15 I’d like to+V,Unit 15 S+past verb,Unit 15 To 부정사 명사적 용법,Unit 15 유도 부사+to 부정사 형용사적 용법,"Unit 15 S+V(s,es)",Unit 15 Review,Unit 15 He doesn’t have to+V.,Unit 15 간접의문문,"Unit 15 형용사구, 전치사",Unit 15 현재완료,Unit 15 Total review
15,Unit 16 I’m not going to +V,Unit 16 Will you +V,Unit 16 S+past verb,Unit 16 To 부정사 명사적 용법,Unit 16 Review,"Unit 16 S+V(s,es)",Unit 16 Review,Unit 16 Did+S+have to+V.,Unit 16 간접의문문 if,"Unit 16 형용사구, 전치사",Unit 16 현재완료,Unit 16 Total review
16,Unit 17 Review,Unit 17 I will+V,Unit 17 S+didn't+V,Unit 17 To 부정사 명사적 용법,Unit 17 Review,"Unit 17 Doesn’t, Don’t",Unit 17 Review,Unit 17 S+ had to +V.,Unit 17 5W1H + do you think,Unit 17 Review,Unit 17 가정법 과거,Unit 17 Total review
17,Unit 18 can you+V,Unit 18 I will not +V,Unit 18 S+could+v,Unit 18 To 부정사 명사적 용법,"Unit 18 유도 부사 (현재형 복수 긍정, 의문,부정문)","Unit 18 Doesn’t, Don’t",Unit 18 Review,Unit 18 Review,Unit 18 Review,Unit 18 Review,Unit 18 가정법 과거완료,Unit 18 Total review
18,Unit 19 I can+V,Unit 19 Review,Unit 19 S+couldn’t+v,Unit 19 동명사,"Unit 19 유도 부사 (과거형 단수 긍정, 의문,부정문)",Unit 19 Review,Unit 19 Review,Unit 19 Review,Unit 19 Review,Unit 19 Review,Unit 19 가정법 과거완료,Unit 19 Total review
19,Unit 20 Review,Unit 20 Review,Unit 20 Review,Unit 20 동명사,"Unit 20 유도 부사 (과거형 복수 긍정, 의문,부정문)",Unit 20 Review,Unit 20 Review,Unit 20 Review,Unit 20 Review,Unit 20 Review,Unit 20 가정법 과거완료,Unit 20 Total review
20,Unit 21 Review,Unit 21 Review,Unit 21 Review,Unit 21 Review,Unit 21 Review,Unit 21 Review,Unit 21 Review,Unit 21 Review,Unit 21 Review,Unit 21 Review,Unit 21 가정법 과거완료,Unit 21 Total review
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
