INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10,"나의 엄마는 매우 화가 나 있습니다.,",그 산은 아주 높다.,"나의 엄마는 어제 매우 화가 났었어,",나의 방은 너의 방보다 더 따뜻해.,나의 얼굴은 너의 얼굴보다 더 따뜻해.,"옛날에, 이 언덕이 저 언덕보다 더 낮았다.","저 강이 이 해변보다 더 위험하다,","이것이 이 도서관에서 the 가장 흥미로운 책이다,",난 지금 졸려.,"저곳이 이곳보다 훨씬 더 깊다,",난 나의 방이 너의 방보다 더 좋다고 생각한다.,네가 지난밤에 그들과 한 것을 난 알고 싶지 않아.,네가 매일 밤 화장을 고치는 the 이유 ,내가 어떻게 나의 엄마를 도와주는지,난 네가 몇 살인지 모른다.,난 그가 a 실수를 했는지 안 했는지 알고 있다.,넌 그가 어디서 그 책을 훔쳤다라고 생각하니?,나의 엄마는 힘이 세다.,난 그녀가 저 거대한 주전자 속에서 수영하고 있는지 아닌지 모르겠다.,넌 내일 그들과 무엇을 하고 싶니?,난 내가 어제 몇 시에 잤는지 모른다.
11,나의 엄마는 화가 나 있지 않아.,그 산은 아주 높지 않아.,나의 엄마는 어제 화가 나지 않았어.,나의 방은 너의 방보다 더 따뜻하지 않아.,나의 얼굴이 너의 얼굴보다 더 따뜻하지 않아.,이 언덕이 저 언덕보다 더 낮지 않았다.,저 강이 이 강보다 더 위험하지 않아.,이것이 이 도서관에서 the 가장 흥미로운 책은 아냐.,난 지금 졸리지 않아.,저곳이 이곳보다 훨씬 더 깊지 않아.,난 나의 방이 너의 방보다 더 좋다고 생각하지 않아.,지난밤에 네가 한 것을 그녀는 이해 못 한다.,네가 매일 아침 물을 마시는 the 이유 ,그들이 담배를 어떻게 끊는지 ,넌 지금 무엇을 하고 있니?,넌 너의 아빠가 모든 걸 잘할 수 있는지 없는지 알고 있니?,넌 그가 하루에 몇 권의 책을 읽을 수 있다고 생각하니?,"넌 누가 힘이 더 세다고 생각하니, 아빠 아니면 엄마?",내가 그녀가 수영하고 있는지 확인해 볼게 ,난 내일 그들과 뭔가 특별한 것을 하고 싶어.,난 그녀가 여기에 올지 안 올지 몰라.
12,그녀가 아주 못생겼니?,그 언덕은 낮니?,그녀가 5년s 전엔 아주 못생겼었니?,너의 방은 그녀의 방보다 더 시원하니?,너의 오른쪽 눈이 나의 왼쪽 눈보다 더 크니?,그 돼지가 그 원숭이보다 더 못생겼었니?,그녀의 코가 너의 코보다 훨씬 더 아름답니?,저 산이 the 세상에서 the 가장 위험한 산이니?,그녀가 a 나쁜 선생님이니?,그녀가 the 세상에서 the 가장 귀여운 소녀니?,넌 너의 학교가 여름에 시원하다는 걸 알고 있니?,넌 어제 우리가 무엇을 했는지 알고 싶니?,네가 너의 개를 괴롭히는 the 이유,네가 어떻게 나의 술버릇s을 바꾸는지,네가 지금 무엇을 하고 있는지,난 나의 아빠가 모든 걸 잘할 수 있는지 없는지 몰라.,넌 내가 얼마나 오랫동안 여기에 있을거라고 생각하니?,넌 그가 10년s 전엔 부자였다고 생각하니?,넌 오늘 나를 몇 시에 만날 수 있니?,그녀는 내일 무엇을 하길 원하니?,"넌 어떤 것을 점심으로 먹고 싶어, 소고기 아니면 돼지고기?"
13,그녀는 아주 못생겼다.,그 언덕은 아주 낮다.,그녀는 5년s 전엔 아주 못생겼었다.,나의 방은 그녀의 방보다 더 시원해.,나의 오른쪽 눈이 너의 왼쪽 눈 보다 더 크다.,그 돼지가 그 원숭이보다 더 못생겼었다.,그녀의 코는 나의 코보다 훨씬 더 아름다워.,저 산이 the 세상에서 the 가장 위험한 산이다.,그녀는 a 나쁜 선생님이다. ,그녀가 the 세상에서 the 가장 귀여운 소녀다.,난 나의 학교가 여름에 시원하다는 걸 알고 있다.,난 어제 너희들이 무엇을 했는지 알고 싶어.,네가 the달 아래에서 공부하는 the 이유,그들이 어떻게 싸웠는지 ,난 네가 지금 무엇을 하고 있는지 궁금하다.,넌 그녀가 예쁘다고 생각하니?,넌 그가 어제 몇 시간 잠을 잤다고 생각하니?,난 그가 10년s 전엔 부자였다고 생각한다.,난 오늘 바빠. 그래서 난 너를 오늘 만날 수 없다.,그녀는 내일 뭔가 이상한 것을 하길 원한다.,"옛날에, 그가 a 유명한 의사였니?"
14,그녀는 아주 못생기지 않아.,그 언덕은 아주 낮지 않다.,그녀는 5년s 전엔 아주 못생기지 않았다.,나의 방은 그녀의 방보다 더 시원하지 않아.,나의 오른쪽 눈이 너의 왼쪽 눈보다 더 크지 않아.,그 돼지가 그 원숭이보다 더 못생기지 않았다.,그녀의 코는 나의 코보다 훨씬 더 아름답지 않다.,저 산이 the 세상에서 the 가장 위험한 산이 아니다.,그녀는 a 나쁜 선생님이 아니다.,그녀가 the 세상에서 the 가장 귀여운 소녀가 아니다.,난 나의 학교가 여름에 시원하다는 걸 몰라.,난 어제 너희들이 무엇을 했는지 알고 싶지 않아.,네가 돈에 관하여 걱정하는 the 이유,그가 at the 올림픽에서 어떻게 a 금메달을 땄는지,난 네가 지금 무엇을 하고 있는지 몰라.,난 그녀가 예쁜지 아닌지 모르겠다.,넌 그녀가 어떤 종류의 직업을 원한다고 생각하니?,난 그가 10년s 전엔 부자였다고 생각하지 않는다.,왜 넌 오늘 너의 우상을 만나길 원하니?,넌 부모님에게 사랑한다고 매일 말하지 않니?,그가 나를 그의 결혼식에 초대할 필요가 없었다.
15,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,
19,넌 지금 아주 슬프니?,넌 a아주 좋은 학생이니?,넌 지난주에 매우 슬펐니?,너의 거실은 그의 방보다 더 춥니?,너의 코가 이 딸기보다 더 붉으니?,나의 공이 빛보다 더 빨랐니?,이 책이 너의 책보다 더 인기가 있니?,이 차가 the 세상에서 the 가장 비싼 차니?,이 책이 저 책보다 더 흥미롭니?,이 공원이 저 공원보다 더 인기가 있니?,넌 이 호수가 the 세상에서 the 가장 아름답다고 생각하니?,내가 지금 하는 것,네가 나에게 a 편지를 쓰는 the 이유,그녀가 화장한 the 시간 ,그녀가 지금 무엇을 하고 있니?,넌 내일 그들이 춤을 추리라고 생각하니?,넌 내가 누구와 같이 어제 아침밥을 먹었다고 생각하니?,"어떤 것이 더 더럽니, 너의 방, 아니면 나의 방?",나의 우상을 나의 스승님에 소개해 주기 위해서.,내일 서울에 가는 것이 가능하니?,내가 그를 나의 결혼식에 초대하는 편이 낫다.
20,난 지금 아주 슬퍼.,난 a아주 좋은 학생이다.,난 지난주에 아주 슬펐다.,나의 거실은 그의 방보다 더 추워.,나의 코가 이 딸기보다 더 붉다.,너의 공은 빛보다 더 빨랐다.,이 책이 나의 책보다 더 인기가 있어.,이 차가 the 세상에서 the 가장 비싼 차다.,이 책이 저 책보다 더 흥미로워.,이 공원이 저 공원보다 더 인기가 없다.,난 이 호수가 the 세상에서 the 가장 아름답다고 생각한다.,넌 내가 지금 하는 것을 좋아하니?,내가 담배를 피우는 the 장소 ,그녀는 그녀가 화장한 the 시간을 모른다.,그녀가 지금 무엇을 하고 있는지,난 내일 그들이 춤을 출지 안 출지 궁금하다.,넌 그가 그녀에게 무엇을 사 줄 것이 라고 생각하니? ,난 나의 방이 너의 방보다 훨씬 더 더럽다고 생각해.,너의 스승님에게 소개할 너의 우상이 있니?,네가 여기에서 a 쉬지 않는 편이 낫다. ,난 그녀를 나의 생일파티에 초대해야만 했다.
21,난 지금 아주 슬프지 않아.,그는 a아주 나쁜 선생님이니?,넌 나처럼 행복했니?,나의 거실은 그의 방보다 더 춥지 않다.,나의 코가 이 딸기보다 더 붉지 않다.,너의 공은 빛보다 더 빠르지 않았다.,이 책이 나의 책보다 더 인기가 없다.,이 차는 the세상에서 the가장 비싼 차가 아니다.,넌 a 장미보다 훨씬 더 아름답니?,너의 왼쪽 팔이 너의 오른쪽 팔보다 더 기니?,난 이 호수가 the 세상에서 가장 아름답다고 생각한다..,"응, 난 네가 지금하는 것을 좋아한다.",그가 역사를 가르치는 the 이유,그녀가 나를 초대한 the 밤,넌 그녀가 지금 무엇을 하고 있는지 알고 있니?,넌 그가 나의 책을 훔쳤다고 생각하니?,넌 내가 언제 그녀와 결혼했다고 생각하니?,그래서 난 지금 당장 나의 방을 청소할 거야.,나의 스승님에게 소개할 나의 우상이 있다.,넌 어디가 a 쉬기에 the 가장 좋은 장소라고 생각하니?,그녀가 당신을 a 왕처럼 대접해야만 하나요?
22,너의 아들은 젊니?,그는 아주 나쁜 선생님이 아니다.,난 너처럼 행복하지 않았다.,그의 방은 너의 아빠의 방보다 더 크니?,그의 방은 너의 방보다 더 아늑하니?,그가 너보다 훨씬 더 행복했니?,너의 집이 나의 집보다 더 비싸니?,이것이 이 동물원에서 the 가장 아름다운 호랑이니?,난 a 장미보다 훨씬 더 아름답지 않아.,나의 왼쪽 팔이 나의 오른쪽 팔보다 더 길다.,넌 너의 영어가 그녀의 영어보다 훨씬 낫다고 생각하니?,그녀가 지금 말하는 것 ,네가 그들과 춤을 추는 the 장소 ,난 그녀가 나를 초대한 the 밤을 기억할 거다.,난 그녀가 지금 무엇을 하고 있는지 몰라.,난 그가 너의 책을 훔쳤는지 안 훔쳤는지 모르겠다.,넌 그들이 누구와 채팅했다고 생각하니?,넌 야구와 축구 중 어떤 것을 더 좋아하니?,그녀가 던질 a 특별한 공을 가지고 있니?,네가 많은 사람 앞에서 노래해야만 하니?,그녀가 나를 a 왕처럼 대접할 필요가 없다.
23,나의 아들은 아주 젊다.,그의 엄마는 바쁘니?,너의 엄마는 아주 힘이 셌니?,그의 방은 그의 아빠의 방보다 더 크지 않다.,그의 방은 너의 방보다 더 아늑하지 않다.,그가 너보다 훨씬 더 행복했다.,나의 집이 너의 집보다 더 비싸다.,이것이 이 동물원에서 the 가장 아름다운 호랑이다.,너의 여동생이 나보다 더 어리니?,나의 왼쪽 팔이 나의 오른쪽 팔보다 더 길지 않다.,난 나의 영어가 그녀의 영어보다 훨씬 낫다고 생각한다.,넌 그녀가 지금 말하는 것을 이해할 수 있니? ,그녀가 수학을 가르치는 the 이유 ,그녀가 어떻게 나를 발로 찼는지,그녀가 어떻게 수영할 수 있니?,난 그들이 너를 위해 그것을 했는지 안 했는지 상관 안 해.,넌 네가 얼마나 많은 사과를 먹을 수 있다고 생각하니?,난 야구를 축구보다 더 좋아한다.,그녀가 던질 a 특별한 공을 가지고 있어.,난 많은 사람 앞에서 노래를 부를 필요가 없다.,그녀가 지금 누구를 기다리고 있습니까?
24,나의 아들은 아주 젊지 않아.,그의 엄마는 바빠.,나의 엄마는 아주 힘이 셌다.,그의 방은 그의 아빠의 방보다 훨씬 더 크다.,네 머리가 나의 머리보다 훨씬 더 단단하니? ,그가 너보다 훨씬 더 행복하지 않았다.,나의 집이 너의 집보다 더 비싸지 않다.,이것이 이 동물원에서 the 가장 아름다운 호랑이가 아니다.,나의 여동생이 너보다 더 어려.,이 책상이 저 책상보다 훨씬 더 좋으니?,난 나의 영어가 그녀의 영어보다 훨씬 낫다고 생각하지 않아.,"아니, 난 그녀가 지금 말하는 것을 이해할 수 없다.",네가 매일 우는 이유,넌 그녀가 어떻게 나를 주먹으로 쳤는지 기억할 수 있니? ,그가 어디에 살고 있니?,난 the태양이 the 달 보다 더 뜨거운지 아닌지 모른다.,넌 그들이 어떻게 돈 없이 살 수 있다고 생각하니?,왜 넌 여름보다 겨울을 더 좋아하니?,그녀가 이 돈으로 a 비눗방울을 살 수 있니? ,난 많은 사람 앞에서 노래를 불러야만 해.,the 책상 위에 마실 물이 있습니까?
25,넌 나처럼 행복하니?,넌 춥니?,그가 부자였니?,그녀의 코가 나의 코보다 훨씬 더 크니?,네 머리가 나의 머리보다 훨씬 더 단단하다.,너의 여동생은 나의 아빠보다 훨씬 더 강했니?,너의 영어가 나의 영어보다 훨씬 더 낫니?,그가 당신 사무실에서 the 가장 근면한 사람이니?,그가 이 마을에서 the 가장 가난한 사업가니?,이 책상이 저 책상보다 훨씬 더 좋아.,넌 그가 the 가장 나쁜 판사라고 생각하니?,넌 내가 매일 하는 것에 관심이 있니?,네가 the 피아노를 치는 the 운동장,난 그녀가 어떻게 나를 주먹으로 쳤는지 기억할 수 있어.,그가 어디에 사는지,넌 그녀가 그들과 일을 한다고 생각하니?,넌 내가 어디에 산다고 생각하니?,왜냐하면 난 겨울에 스키를 탈 수 있기 때문이지.,이 돈으로 a 비눗방울을 사는 것이 불가능하다고 생각하니?,그녀가 the 체육관 뒤에서 소리쳐야만 하니?,넌 영어를 가르치는 것이 영어를 배운다고 생각하니?
26,너의 엄마는 아주 강하니?,난 춥지 않아.,"그는 부자였다,",그녀의 코가 나의 코보다 훨씬 더 크다.,그녀의 뇌가 너의 뇌보다 훨씬 더 크니?,나의 여동생은 너의 아빠보다 훨씬 더 강했다.,나의 영어가 너의 영어보다 훨씬 더 낫다.,그가 나의 사무실에서 the 가장 근면한 사람이다.,"그가 이 마을에서 the 가장 가난한 사업가다,",그의 음악 성적이 작년보다 더 못하니?,난 그가 the 가장 나쁜 판사라고 생각한다.,넌 내가 내 주머니 속에 무엇을 가지고 있는지 알고 있니?,the 네가 나처럼 춤을 추는 the 이유 ,그녀가 어떻게 나를 속였는지,넌 어디에 그가 사는지 알고 있니?,난 그녀가 그들과 일을 하는지 안 하는지 상관 안 해.,넌 내가 어떻게 그것을 했다고 생각하니?,"넌 누가 더 키가 크다고 생각하니, 나 아니면 너?",난 이 돈으로 a 비눗방울을 사는 것이 불가능하다고 생각해.,그녀가 the 무지개 위에서 소리쳐야만 해.,난 너의 돈을 훔치는 것은 나쁘다고 생각한다.
27,그는 부자가 아니야.,난 아주 추워,그는 부자가 아니었다.,그녀의 코가 나의 코보다 훨씬 더 크지 않다.,그녀의 뇌는 나의 뇌보다 훨씬 더 크지 않아.,나의 여동생은 너의 아빠보다 훨씬 더 강하지 않았다.,나의 영어가 너의 영어보다 훨씬 더 낫지 않다.,그가 나의 사무실에서 the 가장 근면한 사람이 아니다.,그는 이 마을에서 the 가장 가난한 사업가가 아니야.,그의 음악 성적이 작년보다 더 못하지 않아.,난 그가 the 가장 나쁜 판사라고 생각하지 않아. ,난 네가 먹고 싶어 하는 것을 너에게 내일 사 줄 거다. ,내가 the 불쌍한 돼지에게 뽀뽀하는 the 이유 ,난 그녀가 어떻게 나를 속였는지를 알고 있다.,난 그가 어디에 사는지 몰라.,난 그가 그 게임에서 이겼는지 졌는지 확실하지 않아.,넌 내가 누구와 컴퓨터 게임을 했다고 생각하니?,넌 나보다 키 커 보이질 않아.,넌 나에게 전화할 시간이 있니?,그녀가 the 호수 주변에서 소리칠 필요가 없다.,넌 오래 살려고 매일 그 산에 가니?
28,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
